subject_id,spider score, parent CTX image, center latitude, center longitude
489994,1.000,"P12_005747_1035_XI_76S195W",-76.76,165.32
491505,1.000,"D14_032675_0924_XN_87S253W",-87.55,110.18
1045043,1.000,"P13_006151_0974_XN_82S055W",-82.13,303.34
1320810,1.000,"P12_005839_0994_XI_80S170W",-81.10,189.69
1510306,0.953,"G13_023338_1043_XI_75S229W",-75.34,131.48
491434,0.953,"P13_006173_0934_XN_86S263W",-86.73,100.61
491859,0.951,"P13_006148_1028_XN_77S342W",-79.08,19.48
1491749,0.951,"P13_006197_0930_XN_87S187W",-86.91,172.28
1058665,0.951,"D14_032593_1037_XN_76S174W",-76.20,185.99
1321290,0.949,"P13_006283_1003_XN_79S065W",-81.95,300.45
1491750,0.949,"P13_006197_0930_XN_87S187W",-86.89,171.27
1041162,0.949,"G14_023691_1031_XN_76S143W",-78.02,217.95
1058053,0.927,"P13_006151_0974_XN_82S055W",-82.22,304.11
489992,0.914,"P12_005747_1035_XI_76S195W",-76.88,165.44
1491726,0.912,"P13_006197_0930_XN_87S187W",-86.92,169.71
1044835,0.910,"P13_006151_0974_XN_82S055W",-82.27,303.18
490262,0.909,"G14_023591_0996_XN_80S284W",-80.76,75.74
491493,0.909,"D14_032675_0924_XN_87S253W",-87.63,108.56
1491724,0.908,"P13_006197_0930_XN_87S187W",-86.97,171.72
491771,0.906,"P13_006148_1028_XN_77S342W",-79.15,19.22
1041289,0.906,"G14_023691_1031_XN_76S143W",-78.00,218.26
488303,0.905,"P13_006204_0986_XN_81S065W",-82.03,296.16
1319658,0.905,"P12_005813_1030_XI_77S195W",-76.76,165.31
491412,0.904,"P13_006173_0934_XN_86S263W",-86.84,99.31
488280,0.904,"P13_006204_0986_XN_81S065W",-80.96,293.24
1058058,0.904,"P13_006151_0974_XN_82S055W",-81.93,303.34
1058666,0.903,"D14_032593_1037_XN_76S174W",-76.14,185.93
1058661,0.903,"D14_032593_1037_XN_76S174W",-76.44,186.23
1319657,0.903,"P12_005813_1030_XI_77S195W",-76.82,165.38
