subject_id,spider score,swiss score, Parent CTX_image, center latitude, center longitude,CTX center x position,CTX center y position
1044260,0.041,0.884,"D14_032666_0916_XN_88S350W",-88.88,9.41,400,300
1044266,0.000,0.104,"D14_032666_0916_XN_88S350W",-88.82,8.08,400,900
1044272,0.000,0.824,"D14_032666_0916_XN_88S350W",-88.77,6.86,400,1500
1044277,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.71,5.75,400,2100
1044282,0.035,0.886,"D14_032666_0916_XN_88S350W",-88.66,4.72,400,2700
1044286,0.000,0.963,"D14_032666_0916_XN_88S350W",-88.60,3.77,400,3300
1044290,0.000,0.923,"D14_032666_0916_XN_88S350W",-88.54,2.90,400,3900
1044296,0.077,0.913,"D14_032666_0916_XN_88S350W",-88.49,2.09,400,4500
1044301,0.000,0.861,"D14_032666_0916_XN_88S350W",-88.43,1.34,400,5100
1044306,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.37,0.64,400,5700
1044309,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.32,359.98,400,6300
1044313,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.83,13.04,1200,300
1044316,0.000,0.800,"D14_032666_0916_XN_88S350W",-88.78,11.60,1200,900
1044321,0.000,0.870,"D14_032666_0916_XN_88S350W",-88.73,10.25,1200,1500
1044325,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.68,9.02,1200,2100
1044329,0.000,0.777,"D14_032666_0916_XN_88S350W",-88.62,7.88,1200,2700
1044333,0.000,0.215,"D14_032666_0916_XN_88S350W",-88.57,6.83,1200,3300
1044339,0.000,0.965,"D14_032666_0916_XN_88S350W",-88.51,5.86,1200,3900
1044343,0.046,0.676,"D14_032666_0916_XN_88S350W",-88.46,4.96,1200,4500
1044347,0.000,0.950,"D14_032666_0916_XN_88S350W",-88.40,4.12,1200,5100
1044352,0.000,0.919,"D14_032666_0916_XN_88S350W",-88.34,3.33,1200,5700
1044356,0.000,0.950,"D14_032666_0916_XN_88S350W",-88.29,2.59,1200,6300
1044360,0.000,0.915,"D14_032666_0916_XN_88S350W",-88.79,16.25,2000,300
1044364,0.000,0.351,"D14_032666_0916_XN_88S350W",-88.74,14.76,2000,900
1044368,0.000,0.947,"D14_032666_0916_XN_88S350W",-88.69,13.40,2000,1500
1044370,0.000,0.920,"D14_032666_0916_XN_88S350W",-88.63,12.11,2000,2100
1044374,0.000,0.863,"D14_032666_0916_XN_88S350W",-88.58,10.87,2000,2700
1044377,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.53,9.73,2000,3300
1044381,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.48,8.68,2000,3900
1044385,0.045,0.955,"D14_032666_0916_XN_88S350W",-88.42,7.69,2000,4500
1044390,0.000,0.917,"D14_032666_0916_XN_88S350W",-88.37,6.77,2000,5100
1044393,0.000,0.923,"D14_032666_0916_XN_88S350W",-88.31,5.91,2000,5700
1044397,0.000,0.950,"D14_032666_0916_XN_88S350W",-88.26,5.10,2000,6300
1044401,0.000,0.697,"D14_032666_0916_XN_88S350W",-88.74,19.31,2800,300
1044404,0.000,0.404,"D14_032666_0916_XN_88S350W",-88.69,17.69,2800,900
1044408,0.000,0.961,"D14_032666_0916_XN_88S350W",-88.64,16.21,2800,1500
1044412,0.041,0.954,"D14_032666_0916_XN_88S350W",-88.59,14.87,2800,2100
1044416,0.000,0.878,"D14_032666_0916_XN_88S350W",-88.54,13.64,2800,2700
1044422,0.038,0.795,"D14_032666_0916_XN_88S350W",-88.49,12.46,2800,3300
1044425,0.000,0.604,"D14_032666_0916_XN_88S350W",-88.44,11.34,2800,3900
1044429,0.034,0.903,"D14_032666_0916_XN_88S350W",-88.38,10.27,2800,4500
1044433,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.33,9.28,2800,5100
1044436,0.000,0.957,"D14_032666_0916_XN_88S350W",-88.28,8.35,2800,5700
1044441,0.000,0.839,"D14_032666_0916_XN_88S350W",-88.22,7.48,2800,6300
1044446,0.000,0.898,"D14_032666_0916_XN_88S350W",-88.69,22.09,3600,300
1044450,0.000,0.670,"D14_032666_0916_XN_88S350W",-88.64,20.44,3600,900
1044454,0.000,0.517,"D14_032666_0916_XN_88S350W",-88.60,18.90,3600,1500
1044457,0.000,0.949,"D14_032666_0916_XN_88S350W",-88.55,17.45,3600,2100
1044461,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.50,16.12,3600,2700
1044466,0.000,0.868,"D14_032666_0916_XN_88S350W",-88.45,14.91,3600,3300
1044470,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.40,13.78,3600,3900
1044473,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.34,12.70,3600,4500
1044479,0.032,1.000,"D14_032666_0916_XN_88S350W",-88.29,11.66,3600,5100
1044485,0.000,0.964,"D14_032666_0916_XN_88S350W",-88.24,10.67,3600,5700
1044490,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.19,9.74,3600,6300
1044495,0.000,0.965,"D14_032666_0916_XN_88S350W",-88.64,24.59,4400,300
1044500,0.000,0.958,"D14_032666_0916_XN_88S350W",-88.59,22.92,4400,900
1044504,0.000,0.251,"D14_032666_0916_XN_88S350W",-88.55,21.35,4400,1500
1044509,0.000,0.949,"D14_032666_0916_XN_88S350W",-88.50,19.88,4400,2100
1044514,0.000,0.921,"D14_032666_0916_XN_88S350W",-88.45,18.49,4400,2700
1044519,0.000,0.932,"D14_032666_0916_XN_88S350W",-88.40,17.19,4400,3300
1044524,0.086,0.525,"D14_032666_0916_XN_88S350W",-88.35,15.99,4400,3900
1044529,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.30,14.87,4400,4500
1044534,0.045,0.957,"D14_032666_0916_XN_88S350W",-88.25,13.83,4400,5100
1044539,0.000,0.962,"D14_032666_0916_XN_88S350W",-88.20,12.83,4400,5700
1044543,0.000,1.000,"D14_032666_0916_XN_88S350W",-88.15,11.87,4400,6300
1042099,0.000,0.910,"P13_006176_0935_XN_86S350W",-87.24,23.39,400,300
1042100,0.000,0.956,"P13_006176_0935_XN_86S350W",-87.21,22.30,400,900
1042101,0.000,0.956,"P13_006176_0935_XN_86S350W",-87.18,21.22,400,1500
1042102,0.000,1.000,"P13_006176_0935_XN_86S350W",-87.14,20.17,400,2100
1042103,0.000,0.951,"P13_006176_0935_XN_86S350W",-87.11,19.15,400,2700
