subject_id,swiss cheese score, parent CTX image, center latitude, center longitude
1320528,1.000,"P13_006005_0947_XN_85S015W",-86.32,355.10
1320615,1.000,"P13_006005_0947_XN_85S015W",-85.39,345.54
1320728,1.000,"P13_006005_0947_XN_85S015W",-86.34,359.96
1491818,1.000,"G14_023835_0906_XN_89S050W",-89.36,342.33
1491849,1.000,"G14_023835_0906_XN_89S050W",-89.14,300.68
1040008,1.000,"G14_023833_0926_XN_87S017W",-87.75,346.66
1040047,1.000,"G14_023833_0926_XN_87S017W",-87.38,342.37
1040089,1.000,"P13_006123_0953_XN_84S001W",-86.26,9.46
1040272,1.000,"P13_006123_0953_XN_84S001W",-85.75,5.97
1040357,1.000,"P13_006123_0953_XN_84S001W",-85.81,7.70
1040528,1.000,"P13_006123_0953_XN_84S001W",-85.86,10.72
1042104,1.000,"P13_006176_0935_XN_86S350W",-87.08,18.14
1042123,1.000,"P13_006176_0935_XN_86S350W",-86.32,3.00
1042145,1.000,"P13_006176_0935_XN_86S350W",-86.77,12.48
1043470,1.000,"D14_032682_0925_XN_87S066W",-87.86,300.29
1042173,1.000,"P13_006176_0935_XN_86S350W",-86.94,18.56
484026,1.000,"P13_005941_0947_XI_85S065W",-85.55,296.96
1042208,1.000,"P13_006176_0935_XN_86S350W",-86.85,18.29
484177,1.000,"P13_005941_0947_XI_85S065W",-84.74,291.76
1042284,1.000,"P13_006176_0935_XN_86S350W",-86.45,12.90
487245,1.000,"P13_006229_0951_XN_84S014W",-86.60,3.47
1043426,1.000,"D14_032682_0925_XN_87S066W",-87.93,294.22
487507,1.000,"P13_006229_0951_XN_84S014W",-86.41,4.81
1043446,1.000,"D14_032682_0925_XN_87S066W",-87.63,292.12
487597,1.000,"P13_006167_0931_XN_86S092W",-86.94,260.67
1043473,1.000,"D14_032682_0925_XN_87S066W",-87.71,297.63
487647,1.000,"P13_006167_0931_XN_86S092W",-86.81,263.68
1044309,1.000,"D14_032666_0916_XN_88S350W",-88.32,359.98
1039953,1.000,"G14_023794_0952_XN_84S061W",-85.23,299.07
1044473,1.000,"D14_032666_0916_XN_88S350W",-88.34,12.70
1319727,1.000,"G15_023927_0932_XI_86S057W",-87.07,304.40
1319750,1.000,"G15_023927_0932_XI_86S057W",-86.93,304.60
1319772,1.000,"G15_023927_0932_XI_86S057W",-86.82,305.75
1320411,1.000,"P13_006005_0947_XN_85S015W",-85.50,343.50
1320535,1.000,"P13_006005_0947_XN_85S015W",-86.00,350.80
1320662,1.000,"P13_006005_0947_XN_85S015W",-86.31,357.87
1320730,1.000,"P13_006005_0947_XN_85S015W",-86.26,358.55
1491827,1.000,"G14_023835_0906_XN_89S050W",-89.29,294.99
1491850,1.000,"G14_023835_0906_XN_89S050W",-89.12,297.14
1039964,1.000,"G14_023794_0952_XN_84S061W",-85.20,299.80
1040023,1.000,"G14_023833_0926_XN_87S017W",-87.56,342.73
1040050,1.000,"G14_023833_0926_XN_87S017W",-87.27,339.33
1040099,1.000,"P13_006123_0953_XN_84S001W",-85.78,4.05
1040273,1.000,"P13_006123_0953_XN_84S001W",-85.71,5.48
1040359,1.000,"P13_006123_0953_XN_84S001W",-85.71,6.68
1040781,1.000,"D14_032510_0963_XN_83S054W",-83.97,304.59
1042107,1.000,"P13_006176_0935_XN_86S350W",-86.98,15.27
1042131,1.000,"P13_006176_0935_XN_86S350W",-85.94,358.45
1042146,1.000,"P13_006176_0935_XN_86S350W",-86.74,11.66
483824,1.000,"P13_005941_0947_XI_85S065W",-85.58,294.01
1042176,1.000,"P13_006176_0935_XN_86S350W",-86.83,15.80
484037,1.000,"P13_005941_0947_XI_85S065W",-85.02,292.09
1042212,1.000,"P13_006176_0935_XN_86S350W",-86.71,14.76
487066,1.000,"P13_006229_0951_XN_84S014W",-86.89,6.11
1042299,1.000,"P13_006176_0935_XN_86S350W",-85.82,3.08
487272,1.000,"P13_006229_0951_XN_84S014W",-85.35,348.00
1043427,1.000,"D14_032682_0925_XN_87S066W",-87.88,293.39
487518,1.000,"P13_006229_0951_XN_84S014W",-85.95,357.52
1043453,1.000,"D14_032682_0925_XN_87S066W",-87.25,288.00
487602,1.000,"P13_006167_0931_XN_86S092W",-87.25,273.78
1043474,1.000,"D14_032682_0925_XN_87S066W",-87.66,296.81
487658,1.000,"P13_006167_0931_XN_86S092W",-86.94,270.07
1044313,1.000,"D14_032666_0916_XN_88S350W",-88.83,13.04
1039955,1.000,"G14_023794_0952_XN_84S061W",-85.12,298.46
1044479,1.000,"D14_032666_0916_XN_88S350W",-88.29,11.66
1319728,1.000,"G15_023927_0932_XI_86S057W",-87.04,303.37
1319752,1.000,"G15_023927_0932_XI_86S057W",-86.87,302.65
1319773,1.000,"G15_023927_0932_XI_86S057W",-86.79,304.79
1320414,1.000,"P13_006005_0947_XN_85S015W",-85.34,342.27
1320425,1.000,"P13_006005_0947_XN_85S015W",-84.76,338.38
1320536,1.000,"P13_006005_0947_XN_85S015W",-85.96,350.24
1320665,1.000,"P13_006005_0947_XN_85S015W",-86.18,355.86
1320731,1.000,"P13_006005_0947_XN_85S015W",-86.22,357.86
1491829,1.000,"G14_023835_0906_XN_89S050W",-89.28,340.41
1501104,1.000,"D14_032523_0954_XN_84S045W",-84.70,313.04
1039965,1.000,"G14_023794_0952_XN_84S061W",-85.15,299.49
1040024,1.000,"G14_023833_0926_XN_87S017W",-87.52,341.61
1040052,1.000,"G14_023833_0926_XN_87S017W",-87.53,350.04
1040164,1.000,"P13_006123_0953_XN_84S001W",-86.73,18.70
1040347,1.000,"P13_006123_0953_XN_84S001W",-86.26,13.59
1040433,1.000,"P13_006123_0953_XN_84S001W",-86.26,14.96
1040786,1.000,"D14_032510_0963_XN_83S054W",-83.70,303.43
1042109,1.000,"P13_006176_0935_XN_86S350W",-86.90,13.46
1042133,1.000,"P13_006176_0935_XN_86S350W",-87.18,24.02
1042148,1.000,"P13_006176_0935_XN_86S350W",-86.66,10.06
483861,1.000,"P13_005941_0947_XI_85S065W",-86.85,315.57
1042179,1.000,"P13_006176_0935_XN_86S350W",-86.72,13.21
484073,1.000,"P13_005941_0947_XI_85S065W",-86.41,310.70
1042216,1.000,"P13_006176_0935_XN_86S350W",-86.56,11.52
487067,1.000,"P13_006229_0951_XN_84S014W",-86.85,5.24
1042978,1.000,"G14_023728_0958_XI_84S057W",-84.22,301.58
487273,1.000,"P13_006229_0951_XN_84S014W",-85.30,347.59
1043428,1.000,"D14_032682_0925_XN_87S066W",-87.83,292.60
487519,1.000,"P13_006229_0951_XN_84S014W",-85.90,356.94
1043454,1.000,"D14_032682_0925_XN_87S066W",-87.19,287.51
487603,1.000,"P13_006167_0931_XN_86S092W",-87.23,272.63
1043492,1.000,"D14_032682_0925_XN_87S066W",-87.47,296.01
487660,1.000,"P13_006167_0931_XN_86S092W",-86.88,268.08
1044325,1.000,"D14_032666_0916_XN_88S350W",-88.68,9.02
1044490,1.000,"D14_032666_0916_XN_88S350W",-88.19,9.74
1319731,1.000,"G15_023927_0932_XI_86S057W",-86.95,300.41
1319754,1.000,"G15_023927_0932_XI_86S057W",-86.81,300.78
1319781,1.000,"G15_023927_0932_XI_86S057W",-86.81,308.23
1320456,1.000,"P13_006005_0947_XN_85S015W",-86.54,357.15
1320548,1.000,"P13_006005_0947_XN_85S015W",-85.37,344.44
1320681,1.000,"P13_006005_0947_XN_85S015W",-85.45,347.10
1320733,1.000,"P13_006005_0947_XN_85S015W",-86.14,356.53
1491839,1.000,"G14_023835_0906_XN_89S050W",-89.19,294.37
1501124,1.000,"D14_032523_0954_XN_84S045W",-84.74,314.92
1039966,1.000,"G14_023794_0952_XN_84S061W",-85.09,299.18
1040032,1.000,"G14_023833_0926_XN_87S017W",-87.58,345.98
1040063,1.000,"G14_023833_0926_XN_87S017W",-87.47,350.78
1040166,1.000,"P13_006123_0953_XN_84S001W",-86.65,17.11
1040349,1.000,"P13_006123_0953_XN_84S001W",-86.17,12.30
1040441,1.000,"P13_006123_0953_XN_84S001W",-85.90,10.03
1040805,1.000,"D14_032510_0963_XN_83S054W",-83.81,305.23
